#,Chromophore Name,Smile,Dye type,Solvent,Wavelength S1 (Abs) [nm],Energy S1 (Abs) [eV],Wavelength S1 (Em) [nm],Energy S1 (Em) [eV],Delta_Stocks [eV],Tau_Averge [ns],(1/Tau_Averge) [1/ns],Ref 
1,Cypate,"CC1(C)\C(=C/C=C/C=C/C=C/C2=[N+](CCC([O-])=O)C3=C(C4=CC=CC=C4C=C3)C2(C)C)N(CCC(O)=O)C2=C1C1=CC=CC=C1C=C2 |c:11,22,24,27,40,45,47,50,t:18,20,43|",Cyanine,Water,,#N/A,,#N/A,#N/A,0.2,5,"Lee, H., Berezin, M. Y., Henary, M., Strekowski, L., & Achilefu, S. (2008). Fluorescence lifetime properties of near-infrared cyanine dyes in relation to their structures. Journal of Photochemistry and Photobiology A: Chemistry, 200(2–3), 438–444. https://doi.org/10.1016/j.jphotochem.2008.09.008"
2,Cypate,"CC1(C)\C(=C/C=C/C=C/C=C/C2=[N+](CCC([O-])=O)C3=C(C4=CC=CC=C4C=C3)C2(C)C)N(CCC(O)=O)C2=C1C1=CC=CC=C1C=C2 |c:11,22,24,27,40,45,47,50,t:18,20,43|",Cyanine,Methanol,792,1.565454545,817,1.51755202,0.047902526,0.46,2.173913043,"Lee, H., Berezin, M. Y., Henary, M., Strekowski, L., & Achilefu, S. (2008). Fluorescence lifetime properties of near-infrared cyanine dyes in relation to their structures. Journal of Photochemistry and Photobiology A: Chemistry, 200(2–3), 438–444. https://doi.org/10.1016/j.jphotochem.2008.09.008"
3,Cypate,"CC1(C)\C(=C/C=C/C=C/C=C/C2=[N+](CCC([O-])=O)C3=C(C4=CC=CC=C4C=C3)C2(C)C)N(CCC(O)=O)C2=C1C1=CC=CC=C1C=C2 |c:11,22,24,27,40,45,47,50,t:18,20,43|",Cyanine,Ethanol,,#N/A,,#N/A,#N/A,0.57,1.754385965,"Lee, H., Berezin, M. Y., Henary, M., Strekowski, L., & Achilefu, S. (2008). Fluorescence lifetime properties of near-infrared cyanine dyes in relation to their structures. Journal of Photochemistry and Photobiology A: Chemistry, 200(2–3), 438–444. https://doi.org/10.1016/j.jphotochem.2008.09.008"
4,Cypate,"CC1(C)\C(=C/C=C/C=C/C=C/C2=[N+](CCC([O-])=O)C3=C(C4=CC=CC=C4C=C3)C2(C)C)N(CCC(O)=O)C2=C1C1=CC=CC=C1C=C2 |c:11,22,24,27,40,45,47,50,t:18,20,43|",Cyanine,Acetone,,#N/A,,#N/A,#N/A,0.8,1.25,"Lee, H., Berezin, M. Y., Henary, M., Strekowski, L., & Achilefu, S. (2008). Fluorescence lifetime properties of near-infrared cyanine dyes in relation to their structures. Journal of Photochemistry and Photobiology A: Chemistry, 200(2–3), 438–444. https://doi.org/10.1016/j.jphotochem.2008.09.008"
5,Cypate,"CC1(C)\C(=C/C=C/C=C/C=C/C2=[N+](CCC([O-])=O)C3=C(C4=CC=CC=C4C=C3)C2(C)C)N(CCC(O)=O)C2=C1C1=CC=CC=C1C=C2 |c:11,22,24,27,40,45,47,50,t:18,20,43|",Cyanine,DMSO,,#N/A,,#N/A,#N/A,0.87,1.149425287,"Lee, H., Berezin, M. Y., Henary, M., Strekowski, L., & Achilefu, S. (2008). Fluorescence lifetime properties of near-infrared cyanine dyes in relation to their structures. Journal of Photochemistry and Photobiology A: Chemistry, 200(2–3), 438–444. https://doi.org/10.1016/j.jphotochem.2008.09.008"
6,Cypate,"CC1(C)\C(=C/C=C/C=C/C=C/C2=[N+](CCC([O-])=O)C3=C(C4=CC=CC=C4C=C3)C2(C)C)N(CCC(O)=O)C2=C1C1=CC=CC=C1C=C2 |c:11,22,24,27,40,45,47,50,t:18,20,43|",Cyanine,DCM,,#N/A,,#N/A,#N/A,0.94,1.063829787,"Lee, H., Berezin, M. Y., Henary, M., Strekowski, L., & Achilefu, S. (2008). Fluorescence lifetime properties of near-infrared cyanine dyes in relation to their structures. Journal of Photochemistry and Photobiology A: Chemistry, 200(2–3), 438–444. https://doi.org/10.1016/j.jphotochem.2008.09.008"
7,Cypate,"CC1(C)\C(=C/C=C/C=C/C=C/C2=[N+](CCC([O-])=O)C3=C(C4=CC=CC=C4C=C3)C2(C)C)N(CCC(O)=O)C2=C1C1=CC=CC=C1C=C2 |c:11,22,24,27,40,45,47,50,t:18,20,43|",Cyanine,Chloroform,,#N/A,,#N/A,#N/A,1.01,0.99009901,"Lee, H., Berezin, M. Y., Henary, M., Strekowski, L., & Achilefu, S. (2008). Fluorescence lifetime properties of near-infrared cyanine dyes in relation to their structures. Journal of Photochemistry and Photobiology A: Chemistry, 200(2–3), 438–444. https://doi.org/10.1016/j.jphotochem.2008.09.008"
8,ICG,"CC1(C)\C(=C/C=C/C=C/C=C/C2=[N+](CCCCS([O-])(=O)=O)C3=C(C4=CC=CC=C4C=C3)C2(C)C)N(CCCCS([O-])(=O)=O)C2=C1C1=CC=CC=C1C=C2 |c:11,25,27,30,46,51,53,56,t:21,23,49|",Cyanine,Water,,#N/A,,#N/A,#N/A,0.17,5.882352941,"Publishers, E. S. (1988). Chemical Department, Center of Optical Spectroscopy, Friedrich- Schiller-University Jena, DDR-6900 Jena, Philosophenweg 14, GDR. 173, 377–387."
9,ICG,"CC1(C)\C(=C/C=C/C=C/C=C/C2=[N+](CCCCS([O-])(=O)=O)C3=C(C4=CC=CC=C4C=C3)C2(C)C)N(CCCCS([O-])(=O)=O)C2=C1C1=CC=CC=C1C=C2 |c:11,25,27,30,46,51,53,56,t:21,23,49|",Cyanine,Methanol,792,1.565454545,817,1.51755202,0.047902526,0.51,1.960784314,"Publishers, E. S. (1988). Chemical Department, Center of Optical Spectroscopy, Friedrich- Schiller-University Jena, DDR-6900 Jena, Philosophenweg 14, GDR. 173, 377–387."
10,ICG,"CC1(C)\C(=C/C=C/C=C/C=C/C2=[N+](CCCCS([O-])(=O)=O)C3=C(C4=CC=CC=C4C=C3)C2(C)C)N(CCCCS([O-])(=O)=O)C2=C1C1=CC=CC=C1C=C2 |c:11,25,27,30,46,51,53,56,t:21,23,49|",Cyanine,Ethanol,,#N/A,,#N/A,#N/A,0.62,1.612903226,"Publishers, E. S. (1988). Chemical Department, Center of Optical Spectroscopy, Friedrich- Schiller-University Jena, DDR-6900 Jena, Philosophenweg 14, GDR. 173, 377–387."
11,ICG,"CC1(C)\C(=C/C=C/C=C/C=C/C2=[N+](CCCCS([O-])(=O)=O)C3=C(C4=CC=CC=C4C=C3)C2(C)C)N(CCCCS([O-])(=O)=O)C2=C1C1=CC=CC=C1C=C2 |c:11,25,27,30,46,51,53,56,t:21,23,49|",Cyanine,Acetone,,#N/A,,#N/A,#N/A,0.87,1.149425287,"Publishers, E. S. (1988). Chemical Department, Center of Optical Spectroscopy, Friedrich- Schiller-University Jena, DDR-6900 Jena, Philosophenweg 14, GDR. 173, 377–387."
